"Date	Ref.	Potential Payout	Contract	Purchase Price	Sale Date	Sale Price	Profit/Loss (USD)	Details"
"2017-03-20 17:18:08 GMT	26456999928	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:18:24 GMT	0	-1	View"
"2017-03-20 17:17:50 GMT	26456989868	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:18:06 GMT	1.94	0.94	View"
"2017-03-20 17:17:02 GMT	26456965608	31.08	Win payout if Volatility 50 Index is strictly higher than entry spot at 45 seconds after contract start time.	16	2017-03-20 17:17:48 GMT	31.08	15.08	View"
"2017-03-20 17:16:30 GMT	26456948348	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-20 17:17:00 GMT	0	-8	View"
"2017-03-20 17:16:08 GMT	26456936828	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:16:28 GMT	0	-4	View"
"2017-03-20 17:15:50 GMT	26456925088	3.88	Win payout if Volatility 50 Index is strictly higher than entry spot at 16 seconds after contract start time.	2	2017-03-20 17:16:06 GMT	0	-2	View"
"2017-03-20 17:15:32 GMT	26456915768	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:15:48 GMT	0	-1	View"
"2017-03-20 17:15:14 GMT	26456903928	1.94	Win payout if Volatility 50 Index is strictly higher than entry spot at 15 seconds after contract start time.	1	2017-03-20 17:15:30 GMT	1.94	0.94	View"
"2017-03-20 17:14:26 GMT	26456874668	31.08	Win payout if Volatility 50 Index is strictly higher than entry spot at 45 seconds after contract start time.	16	2017-03-20 17:15:12 GMT	31.08	15.08	View"
"2017-03-20 17:13:54 GMT	26456857428	15.54	Win payout if Volatility 50 Index is strictly higher than entry spot at 29 seconds after contract start time.	8	2017-03-20 17:14:24 GMT	0	-8	View"
"2017-03-20 17:13:32 GMT	26456845348	7.77	Win payout if Volatility 50 Index is strictly higher than entry spot at 20 seconds after contract start time.	4	2017-03-20 17:13:52 GMT	0	-4	View"
